emp_no,first_name,last_name,salary,title
10388,Hironoby,Kaiser,62545,Staff
10389,Make,Peir,55548,Technique Leader
10395,Takahiro,Deverell,42774,Engineer
10396,Sibyl,Rahier,40393,Senior Engineer
10397,Irena,Reutenauer,40529,Technique Leader
10402,Volkmar,Ebeling,40000,Technique Leader
10404,Prodip,Rosti,51647,Engineer
10407,Ulf,Siepmann,62565,Senior Staff
10413,Danel,Impagliazzo,45416,Senior Staff
10414,Yinlin,Alpin,43255,Senior Engineer
10418,Candida,Porotnikoff,52224,Staff
10422,Greger,Rubsam,45725,Engineer
10426,Arunas,Luce,65757,Technique Leader
10429,Martien,Improta,40000,Senior Engineer
10432,Hisao,Tiemann,40000,Staff
10433,Reuven,Dengi,40000,Engineer
10442,Volkmar,Unno,46005,Senior Staff
10443,Shichao,Litvinov,55299,Senior Engineer
10451,Bodh,Ranta,46275,Senior Engineer
10453,Tsvetan,Matzel,40000,Senior Staff
10463,Ung,Zaiane,66480,Staff
10466,Jiakeng,Himler,55318,Staff
10477,Guoxiang,Trogemann,55138,Senior Engineer
10486,Amstein,Kossowski,71692,Engineer
10494,Yakkov,Servieres,50094,Senior Engineer
10497,Pramod,Rabehasaina,63707,Engineer
10499,Maik,Luft,40000,Senior Staff
10503,Dannz,Pell,40000,Engineer
10504,Xiong,Varker,43931,Staff
10509,Abdelwaheb,Riesenhuber,49292,Staff
10512,Udi,Gihr,40000,Senior Staff
10517,Tiina,Speek,65330,Senior Staff
10519,Yonghoan,Alencar,40000,Senior Staff
10522,Marke,Cesareni,40000,Staff
10529,Ymte,Yetto,47840,Assistant Engineer
10531,Oguz,Gimbel,49168,Staff
10538,Przemyslawa,Falby,72002,Senior Engineer
10541,Godehard,Eiter,50741,Staff
10542,Yannis,Couchot,40000,Senior Engineer
10548,Ramalingam,Gunderson,90631,Senior Staff
10552,Kazuhito,Shiratori,80483,Senior Engineer
10564,Jianhao,Thisen,46660,Senior Engineer
10568,Gao,Poulakidas,64356,Staff
10575,Theirry,Yeung,40523,Senior Engineer
10586,Kirk,Vuskovic,47541,Senior Engineer
10591,Hidde,Hettesheimer,55131,Staff
10593,Falguni,Kenevan,71435,Engineer
10596,Sanjit,Coors,58689,Senior Staff
10603,Wayne,Restivo,101271,Staff
10608,Adhemar,Talmor,40000,Senior Engineer
10610,Irena,Roccetti,49812,Engineer
10614,Gila,Ozeri,40000,Engineer
10615,Keung,Delgrande,43533,Staff
10617,Hidekazu,Angel,40000,Senior Staff
10623,Aleksander,Danlos,60268,Senior Engineer
10624,Sham,Gyorkos,40000,Technique Leader
10628,Krisda,Krogh,41650,Assistant Engineer
10629,Lalit,Francisci,87045,Staff
10630,Bezalel,Katzenelson,40000,Engineer
10631,Inderjeet,Chaudhuri,40000,Engineer
10634,Nahid,Chepyzhov,45179,Engineer
10636,Saeko,Porotnikoff,40904,Staff
10637,Heejo,Frolund,103579,Staff
10639,Pramod,Erol,46291,Senior Engineer
10641,Guozhong,Zucker,41785,Engineer
10642,Hirochika,Narlikar,40000,Engineer
10653,Otmar,Feinberg,40000,Senior Engineer
10667,Makato,Cusworth,40000,Senior Staff
10671,Parviz,Rebaine,74037,Staff
10672,Bluma,Zeilberger,64663,Senior Engineer
10676,Valeri,Danley,58226,Engineer
10683,Guiseppe,Stranks,40000,Senior Engineer
10693,Berhard,Daescu,40000,Staff
10694,Rildo,Straney,53020,Senior Staff
10696,Unal,Fendler,68913,Technique Leader
10702,Bader,Szemeredi,46581,Senior Engineer
10712,Uma,Koprowski,40000,Senior Engineer
10718,Adib,Rullman,75473,Engineer
10726,Zita,Minakawa,46315,Senior Engineer
10731,Fumitaka,Peak,77892,Staff
10734,Sachar,Erdi,47377,Engineer
10741,Sven,Huttel,50265,Staff
10742,Shim,Wiegley,67405,Technique Leader
10745,Poorav,Ranze,40000,Senior Engineer
10747,Falguni,Khalid,51538,Senior Engineer
10749,King,Brendel,60829,Senior Engineer
10750,Roddy,Demeyer,40000,Technique Leader
10751,Jordanka,Ushiama,50052,Engineer
10764,Yunming,Beetstra,70720,Engineer
10767,Monique,Doering,40651,Staff
10768,Ishfaq,Candan,65717,Senior Engineer
10777,Mizuhito,Kemmerer,40000,Engineer
10778,Selwyn,Merey,64996,Senior Staff
10780,Goncalo,Staudhammer,43654,Engineer
10782,Kish,Perna,40000,Staff
10791,Tadahiko,Sgarro,40000,Senior Engineer
10795,Supot,Naudin,84206,Staff
10801,Uinam,Zschoche,67302,Engineer
10803,Katsuyuki,Velasco,54260,Engineer
10808,Chenxi,Leijenhorst,40000,Senior Engineer
10811,Ashish,Fortenbacher,40000,Engineer
10813,Shalesh,Shumilov,53246,Senior Staff
10814,Nidapan,Dymetman,59378,Senior Staff
10826,Arnd,Anandan,59506,Senior Engineer
10827,Willard,Danley,58322,Staff
10829,Alper,Narahara,40000,Staff
10830,Fen,Fiebach,47420,Staff
10831,Toong,Driscoll,82330,Technique Leader
10833,Krisda,Gecseg,40000,Technique Leader
10834,Huiqun,Rajcani,53869,Assistant Engineer
10835,Tomoyuki,Kermarrec,40000,Engineer
10836,Jianhua,Leivant,65502,Senior Staff
10844,Dipayan,Koprowski,40000,Engineer
10846,Tokuyasu,Serre,40000,Senior Engineer
10847,Theirry,Danley,40000,Senior Staff
10848,Fen,Bratsberg,50475,Senior Engineer
10849,Makato,Mayerwieser,66065,Engineer
10854,Jagoda,Nannarelli,40000,Engineer
10858,Kenroku,Gonthier,47847,Engineer
10867,Billur,Gyorkos,40000,Engineer
10871,Aram,Gilg,40000,Staff
10872,Karoline,Speel,40000,Staff
10873,Sukumar,Wegerle,65835,Staff
10876,Vincent,Papastamatiou,61389,Staff
10878,Lakshmi,Deville,72102,Staff
10879,Muzhong,Chleq,65651,Senior Engineer
10882,Fun,Heuser,40000,Engineer
10883,Shimshon,Champarnaud,40000,Engineer
10885,Rayond,Cronau,78613,Senior Staff
10887,Lunjin,DeMori,69570,Senior Engineer
10895,Vishwani,Petersohn,67103,Staff
10900,Ferdinand,Prenel,50054,Senior Engineer
10906,Munehiro,Carrere,66204,Staff
10909,Georgi,Atchley,80935,Senior Engineer
10912,Oscal,Fasbender,45665,Senior Staff
10913,Narain,Thummel,62428,Staff
10918,Susumu,Reghbati,59521,Staff
10920,Ronghao,Narahara,40000,Staff
10921,Mara,Bahi,72601,Engineer
10922,Kyoichi,Wossner,51997,Staff
10924,Hironoby,Atchley,84783,Senior Staff
10926,Leni,Eppinger,43219,Senior Engineer
10927,Gal,Scallan,51819,Staff
10930,Arch,Minakawa,53785,Engineer
10932,Avishai,Picci,40000,Senior Engineer
10936,Mountaz,Schicker,40000,Staff
10940,Aleksander,Fioravanti,74987,Engineer
10942,Toshimitsu,Larfeldt,40000,Engineer
10943,Berna,Skafidas,45890,Engineer
10944,Remko,Zyda,42872,Senior Engineer
10947,Gor,Usery,43068,Staff
10948,Shigehito,Brodie,47252,Senior Engineer
10949,Shigeichiro,Wroclawski,58253,Senior Staff
10956,Arno,Picel,40000,Engineer
10965,Eckart,Braunschweig,61654,Senior Staff
10969,Premal,Noriega,40000,Senior Engineer
10971,Isamu,Vadhan,52453,Technique Leader
10974,Muneo,Papsdorf,56005,Senior Engineer
10985,Chiradeep,Furedi,40000,Engineer
10986,Masako,Schiper,43900,Technique Leader
10987,Flemming,Baezner,46108,Engineer
10988,Chinya,Deyuan,54174,Senior Engineer
10989,Sumali,Candan,46406,Senior Staff
10990,Shin,Foote,40000,Technique Leader
10996,Matk,Rahimi,43564,Staff
11002,Bluma,Ulupinar,49909,Senior Staff
11004,JoAnna,Decleir,40226,Senior Engineer
11009,Alper,Axelband,75111,Senior Staff
11012,Taegyun,Speckmann,72092,Staff
11019,Leon,Huttel,69387,Engineer
11021,Srinidhi,Henders,62670,Staff
11024,Manton,Collavizza,85419,Staff
11027,Remzi,Cappello,40000,Senior Engineer
11028,Miyeon,Krider,41111,Engineer
11031,Ottavia,Walstra,71654,Staff
11032,Erez,Schaaf,40000,Staff
11037,Lansing,Maliniak,40000,Senior Engineer
11038,Jinya,Beidas,44993,Senior Staff
11042,Gou,Breugel,40000,Engineer
11048,Jaques,Demke,65697,Senior Staff
11050,Elvis,Katiyar,52251,Staff
11051,Przemyslawa,Erol,40000,Senior Engineer
11056,Palash,Speel,79354,Staff
11060,Genevieve,Pokrovskii,57435,Staff
11061,Pintsang,Erni,81257,Senior Staff
11064,Shawna,Vieri,48411,Assistant Engineer
11066,Shaz,Langford,53496,Senior Staff
11070,Adib,Raney,40000,Senior Engineer
11071,Kwan,Sigstam,40000,Engineer
11075,Karsten,Belinskaya,76877,Senior Engineer
11077,Hideyuki,Merro,42983,Senior Staff
11079,Piyush,Garigliano,46239,Senior Engineer
11081,Barry,Boyle,65686,Staff
11083,Shimshon,Ducloy,90972,Staff
11084,Greger,Senzako,52121,Engineer
11085,Hailing,Thummel,66437,Senior Engineer
11087,Changho,Jayawardene,78081,Senior Engineer
11089,Conal,Henders,41004,Senior Staff
11091,Souichi,Ramsay,76253,Engineer
11092,Narain,Stamatiou,78588,Staff
11098,Arnd,Covnot,40000,Engineer
11100,Berna,Cochrane,40000,Senior Staff
11106,Aris,Iwayama,71446,Assistant Engineer
11110,Valeska,Birjandi,43063,Staff
11111,Udi,Zastre,49777,Assistant Engineer
11112,Boaz,Mukaidono,40000,Staff
11113,Shahab,Peng,66401,Staff
11114,Tse,Felcyn,42370,Staff
11119,Ramzi,Luga,40000,Engineer
11121,Vugranam,Kakkad,40000,Engineer
11130,Xinyu,Menhoudj,43172,Senior Staff
11132,Kristin,Harnett,40000,Senior Engineer
11133,Nalini,Azulay,40000,Technique Leader
11134,Sachar,Rajcani,58731,Senior Engineer
11137,Hugh,Luca,40000,Engineer
11139,Bogdan,Homond,63596,Staff
11143,Yongdong,Rosen,63264,Engineer
11144,Carrsten,Heinisuo,56144,Senior Staff
11145,Jinxi,Baak,50480,Engineer
11146,Ishfaq,Masand,96019,Staff
11147,Ayonca,Nitsch,40000,Engineer
11148,Zhanqiu,Botman,56344,Senior Staff
11156,Tomoyuki,Armand,42448,Staff
11158,Masaki,Hagimont,40000,Engineer
11162,Kauko,Narlikar,69873,Senior Engineer
11168,Shmuel,Tetzlaff,72944,Staff
11170,Minghong,Cannard,44531,Senior Engineer
11174,Akhilish,Milicia,45806,Engineer
11177,Chrisa,dAstous,40000,Senior Engineer
11180,Mitsuyuki,Bojadziev,40000,Senior Engineer
11181,Hausi,Cullers,40000,Engineer
11185,Aloys,Baezner,40000,Senior Staff
11186,Kshitij,Stasinski,40000,Senior Engineer
11189,Dante,Bodoff,71798,Senior Staff
11192,Apostol,Bahr,40000,Engineer
11195,Masanao,Lovengreen,52089,Senior Engineer
11197,Tadahiro,Fordan,88741,Senior Staff
11201,Jouko,Masaki,49454,Staff
11203,Sakthirel,Yetto,68049,Senior Staff
11204,Diederik,Covnot,40000,Technique Leader
11206,Steen,Sury,68802,Staff
11207,Saeed,Gips,49728,Engineer
11208,Saniya,Valtorta,83660,Technique Leader
11211,Yurij,Rissland,72668,Senior Engineer
11213,Vugranam,Munoz,40000,Technique Leader
11217,Kellie,Mawatari,40000,Senior Engineer
11218,Kirk,Hemaspaandra,40000,Technique Leader
11221,Alselm,Hammerschmidt,47184,Engineer
11229,Gretta,Ramamoorthy,48214,Engineer
11232,Hidefumi,Crelier,43863,Staff
11233,Sanjit,Waschkowski,46070,Senior Engineer
11240,Kiam,Condotta,61739,Engineer
11243,Udi,Desikan,47598,Assistant Engineer
11249,Randi,Cyre,43324,Engineer
11251,Bezalel,Chinal,69432,Senior Staff
11253,Koldo,Pokrovskii,40000,Senior Engineer
11254,Danel,Rindone,50562,Staff
11258,Aris,Maccarone,40000,Staff
11266,Florina,Rohrbach,40000,Senior Engineer
11267,Shaunak,Zaumen,65990,Senior Engineer
11268,Aimee,Petersohn,40000,Senior Engineer
11274,Masanao,Nicolson,40000,Staff
11275,Hitomi,Eppinger,58382,Engineer
11288,Domenico,Eastman,60782,Senior Staff
11289,Chuanti,Cherinka,40000,Senior Engineer
11290,Visit,Dredge,65034,Engineer
11291,Gino,Glowinski,54307,Senior Engineer
11292,Souichi,Sichman,40000,Senior Engineer
11294,Tru,Segond,43768,Engineer
11295,Abdelkader,Lanzelotte,66622,Staff
11296,Hironobu,Kenevan,40000,Senior Engineer
11297,Geraldo,Levergood,40000,Engineer
11300,Lillian,Fontet,44380,Engineer
11301,Mingzeng,Oxenboll,40000,Senior Staff
11302,Shem,Senzako,52934,Staff
11315,Neven,Meriste,84316,Staff
11317,Shigeaki,Hagimont,40000,Senior Staff
11319,Pranas,Marrakchi,40000,Assistant Engineer
11320,Atilio,McAlpine,45118,Senior Staff
11322,Nathalie,Pocchiola,43021,Assistant Engineer
11324,Kauko,Billingsley,54288,Senior Engineer
11325,Samphel,Rossi,62458,Engineer
11326,Munenori,Plesums,40000,Engineer
11338,Kwangsub,Hanratty,82210,Senior Staff
11339,Flemming,Massonet,40000,Senior Engineer
11340,Aris,Bala,48813,Senior Engineer
11343,Susanne,Erez,43306,Engineer
11347,Anneli,Jonsson,41524,Senior Engineer
11349,Yurii,Hammerschmidt,46356,Assistant Engineer
11360,Fen,Schach,63466,Senior Staff
11365,Toshimi,Shinomoto,56463,Engineer
11372,Susanta,Vilarrasa,52023,Senior Staff
11373,Yongmao,Keohane,45912,Staff
11376,Valery,Suomi,46964,Senior Staff
11380,Kenroku,Pelc,53345,Engineer
11385,Shiv,Ullian,40000,Engineer
11386,Alselm,Assaf,47726,Engineer
11387,Jordanka,Kalloufi,41824,Engineer
11393,Junsik,Junot,40000,Engineer
11396,Anneke,Servieres,48918,Engineer
11398,Oscar,Peir,44625,Staff
11401,Huan,Merey,52021,Staff
11404,Bedrich,Borovoy,42907,Technique Leader
11406,Eberhardt,Gini,71834,Staff
11410,Gro,Vendrig,45665,Engineer
11414,Eishiro,Pearson,76725,Staff
11415,Sanjiv,Anido,40000,Engineer
11417,Anneli,Cyne,74114,Technique Leader
11418,Satosi,Cooley,40000,Senior Staff
11420,Tsutomu,Lalonde,40000,Senior Staff
11421,Josyula,Msuda,52416,Engineer
11423,Guangming,Kopetz,43947,Staff
11425,Renee,Crelier,40000,Senior Engineer
11428,Remco,Reinhart,40000,Engineer
11431,Youngkon,Picht,44804,Senior Staff
11441,Marlo,Aingworth,67352,Senior Staff
11446,Naftali,Narahara,40000,Engineer
11449,Kotesh,Asser,61434,Senior Engineer
11451,Eben,Rajaraman,61848,Senior Engineer
11452,Shigehito,Luby,52083,Staff
11459,Duke,Suomi,40000,Staff
11460,Mana,Maraist,45712,Senior Engineer
11461,Kish,Cronau,49398,Engineer
11468,Navin,Maksimenko,85983,Staff
11469,Guttorm,Giaccio,44625,Senior Engineer
11474,Gennady,Akazan,59016,Engineer
11476,Manton,Yoshizawa,56449,Staff
11477,Fox,Narahari,40000,Engineer
11479,Shridhar,Pleszkun,78157,Staff
11501,Karsten,Ranum,48608,Staff
11503,Nathan,Picht,56928,Engineer
11506,Rance,Picel,89747,Staff
11509,Aleksander,Feldhoffer,40000,Senior Engineer
11513,Otmar,Mahnke,82525,Staff
11515,Ulf,Basawa,70182,Staff
11518,Jinxi,Oxman,40000,Staff
11519,Halsur,Chinen,61444,Senior Staff
11521,Eldridge,Eastman,67809,Staff
11523,Yuguang,Pezzoli,64203,Assistant Engineer
11524,Xiadong,Standera,41081,Senior Engineer
11526,Tonny,Impagliazzo,67591,Staff
11527,Alagu,Boyle,60212,Staff
11528,Zito,Dolinsky,44026,Technique Leader
11531,Radhika,Motley,53370,Technique Leader
11533,Vitaly,Lorch,40000,Technique Leader
11537,DAIDA,Pehl,96023,Senior Staff
11540,Chanjung,Portugali,70043,Senior Engineer
11554,Subhash,Taubenfeld,46065,Staff
11555,Kotesh,Perfilyeva,40000,Staff
11562,Rimli,Alencar,82255,Engineer
11567,Teiji,Mitzlaff,86261,Senior Staff
11568,Martins,Fujisaki,54673,Engineer
11573,Pranas,Hutton,46194,Senior Engineer
11575,Godehard,Plotkin,50896,Engineer
11577,Mayumi,Deyuan,40000,Engineer
11578,Edwin,Rosti,40000,Senior Engineer
11581,Patricio,Rosenbaum,46950,Engineer
11587,Shem,Zambonelli,40000,Senior Engineer
11588,Kaijung,Panangaden,40000,Senior Staff
11589,Gina,Plessier,58444,Senior Engineer
11595,Takanari,Kamber,68224,Senior Staff
11596,Yannik,Gunderson,54076,Staff
11597,Yongdong,Talmon,43205,Senior Engineer
11602,Somnath,Malabarba,58575,Senior Staff
11603,Herb,Swen,69180,Staff
11606,Perry,Pepe,40000,Staff
11607,Tomokazu,Foong,49584,Engineer
11615,Shem,Isaak,46591,Staff
11616,Zhilian,Brendel,41900,Assistant Engineer
11624,Adil,Gammage,42001,Engineer
11628,Fan,Malinowski,43966,Senior Engineer
11636,Fumitaka,Shiratori,47900,Engineer
11640,Valeri,Coorg,52520,Senior Engineer
11641,Chikako,Rothenberg,53327,Senior Engineer
11644,Sanjit,Zaiane,80722,Assistant Engineer
11646,Lobel,Rubsam,55411,Engineer
11647,Magy,Nitsche,40000,Engineer
11649,Shen,Bernardinello,40000,Technique Leader
11660,Gill,Stenning,65758,Senior Staff
11664,Oksana,Brizzi,70380,Senior Staff
11667,Kristian,Marchegay,79814,Senior Staff
11673,Henk,Felder,40000,Technique Leader
11676,Valeri,Ferriere,43310,Engineer
11681,Fumitake,Benzmuller,40000,Engineer
11684,Oksana,Gide,68753,Staff
11686,Nadjib,Srimani,40000,Senior Staff
11690,Domenick,Raczkowsky,44420,Staff
11693,Hideo,Coorg,70403,Senior Engineer
11696,Dante,Rothe,51633,Senior Staff
11705,Arve,Hofmeyr,79701,Staff
11708,Chenye,Angot,68112,Staff
11713,Danel,Heusch,53387,Senior Engineer
11732,Sanjoy,Ranft,40000,Senior Engineer
11733,Leszek,Sudbeck,46092,Senior Engineer
11735,Amalendu,Picci,40000,Staff
11736,Shugo,Uchoa,44127,Senior Engineer
11737,Martina,Garnier,48832,Assistant Engineer
11738,Tadahiro,Lichtman,58432,Engineer
11746,Koichi,Marrakchi,55951,Senior Staff
11747,Aksel,Kossowski,90239,Staff
11748,Lihong,Massonet,54491,Engineer
11751,Jiafu,Emiris,40000,Senior Staff
11755,Zhenbing,Karner,56874,Senior Staff
11756,Abdelwaheb,Vakili,59493,Engineer
11763,Yuriy,Liesche,40000,Engineer
11764,Sanjay,Anick,64875,Engineer
11765,Zorica,Junet,40000,Staff
11769,Chandrasekaran,Lampe,40000,Senior Staff
11770,Arumugam,Jakobus,40000,Senior Engineer
11772,Gaurav,Penz,61295,Engineer
11774,Aron,Wroclawski,40000,Engineer
11778,Dhritiman,Fontan,40000,Engineer
11779,Shunichi,Thombley,40000,Staff
11791,Gal,Mamelak,40000,Senior Engineer
11797,Chenxi,Thambidurai,88050,Senior Staff
11801,Tommaso,Dayang,67265,Staff
11805,Rosine,Grandbois,40000,Assistant Engineer
11807,Chriss,Binding,40000,Technique Leader
11810,Amabile,Bhattacharjee,41256,Senior Engineer
11811,Herb,Boissier,52695,Senior Staff
11813,Gita,Muhlberg,94687,Staff
11814,Manohar,Shinomoto,40000,Staff
11817,Niranjan,Markovitch,50638,Senior Staff
11821,Mary,Piazza,50404,Senior Engineer
11822,Sastry,Madeira,67396,Staff
11823,Weiyi,Iacovou,72637,Senior Engineer
11829,Chaosheng,Pettis,40000,Assistant Engineer
11832,Arto,Zlotek,40000,Engineer
11836,Ortrud,Bakhtari,40000,Senior Staff
11838,Taiji,Nitta,68674,Staff
11841,Elvia,Bugrara,90296,Staff
11842,Moto,Piazza,40000,Staff
11844,Shawna,Demeyer,78049,Engineer
11846,Fai,Perly,53448,Senior Engineer
11847,Tzvetan,Brandsma,64449,Senior Engineer
11853,Zeljko,Kusakabe,61941,Senior Staff
11857,Divier,Farrag,94805,Senior Staff
11862,Alejandra,Deville,46011,Senior Engineer
11864,Pradeep,Kriebel,52517,Staff
11868,Kwee,Demke,48349,Engineer
11869,Fumino,Luca,62968,Engineer
11871,Nalini,Sommen,67424,Engineer
11872,Cheong,Riexinger,43159,Staff
11876,Leszek,Kobuchi,45372,Senior Engineer
11877,Heng,Sudkamp,50777,Senior Staff
11881,Arra,Staelin,76541,Senior Staff
11883,Nectarios,Bhattacharjee,58135,Engineer
11888,Badri,Azulay,53720,Staff
11894,Mitchel,Validov,56198,Senior Engineer
11896,Shaunak,Benzmuller,40000,Technique Leader
11897,Cordelia,Setlzner,80049,Staff
11906,Hideo,Boguraev,81324,Engineer
11911,Ashish,Mondadori,40000,Engineer
11915,Miomir,Mawatari,58042,Senior Engineer
11917,Jiakeng,VanScheik,40000,Engineer
11926,Leni,Felcyn,41612,Engineer
11931,Gunilla,Chiodo,73369,Senior Staff
11933,Basil,Erman,56130,Engineer
11938,Aruna,Verspoor,40000,Staff
11939,Chinhyun,Basart,64815,Technique Leader
11940,Ult,Anido,60193,Assistant Engineer
11944,Along,Aumann,52061,Senior Engineer
11945,Limsoon,Marakhovsky,53056,Staff
11948,Yahiko,Nergos,49929,Senior Engineer
11949,Martijn,Harbusch,40000,Technique Leader
11951,Bernt,Haumacher,40000,Assistant Engineer
11965,Arup,Morrey,57709,Engineer
11972,Sibyl,Beausoleil,52908,Senior Staff
11980,Yechezkel,Pews,58241,Staff
11983,Jaana,Hedayat,40000,Senior Engineer
11987,Vidya,Schaar,40000,Senior Staff
11988,Chinya,Chinin,57652,Engineer
11989,Erzsebet,Peltason,40000,Technique Leader
11993,Marit,Dalphin,56505,Senior Staff
11994,Sigeru,Fiebach,49761,Senior Staff
11997,Heon,Mawatari,40000,Staff
12007,Marko,Dehkordi,40000,Senior Engineer
12008,Frederique,Zykh,68535,Engineer
12011,Zhilian,Coorg,85833,Senior Staff
12015,Kensei,Guenter,42853,Staff
12021,Chikara,Rahimi,40000,Engineer
12023,Chuanyi,Eppinger,40000,Technique Leader
12024,Mayumi,Lanzelotte,65580,Staff
12025,Jaewoo,Heiserman,62126,Staff
12028,Ingemar,Walstra,51314,Senior Engineer
12030,Shuky,Cromarty,40000,Staff
12033,Visit,Serot,49992,Engineer
12034,Aemilian,Piazza,40148,Staff
12036,Mads,Ratzlaff,67143,Senior Staff
12037,Arunas,Katzenelson,47805,Senior Staff
12040,Bluma,Kermarrec,64813,Senior Staff
12043,Masaki,Lubachevsky,49009,Staff
12044,Rance,Hemaspaandra,40000,Senior Engineer
